First Name,Employment date,Position,Date of birth,Experience (years),Salary,Credit Card Number,Place of Birth,Zip Code,Number of kids,E-Mail,Pets,Review Text
Fletcher,10/6/13,Group Manager,5/9/83 12:35,3,"$7,631.02",5.1977E+15,Rollingbay,28603,3,cubilia.Curae.Donec@mauris.ca,Sheep, As one who has stayed over in the city many times I have to agree with those who say that the decor strikes one as being out of the 1970s. The Queen has been supplanted by the Lowes Vogue or the Delta as the place to be in the city. The rooms aren't particularly big for a luxury hotel. The one plus to this place is a large pool and a nicely equiped gym. Like all those others expect to spend C$75/day on top of the listed price for the taxes parking and whatnot. If you aren't addicted to five star service and want the real Montreal experience I'd prefer the Chateau d'Argoat to all of them.
Malik,11/14/14,Senior QA,5/10/79 15:40,5,"$4,122.71",5.15496E+15,Brownsboro,94862,2,ornare.facilisis@estmollisnon.ca,Cat, After several months of planning and research to find the perfect London hotel 41 was what I hoped it would be and more. This was a birthday trip to mother and sister and I wanted everything to be as perfect as possible. Chantal the resident manager made it all happen with the most warm and personal touches including balloons champagne a cake and gifts waiting in our room upon our arrival. Chantal and I had been emailing each other in the weeks preceeding the trip and I felt as if I knew her as a friend when we finally arrived.  This was by far the best hotel I have stayed at in London out of my previous 4 stays. The hotel itself is quaint yet beautiful with a cozy at-home feeling. From the street the entrance is quite inconspicuous and private which is very nice. The overall style is what I would describe as contemporary old-world style meets traditional English. The executive lounge is a large gorgeous living room type of space with multiple seating areas that are also for the morning breakfast sittings. In the evenings a well stocked bar is set up for evening cocktails. The very unconventional reception area is also here in this room as a mere executive desk with a flat screen computer monitor and two guest chairs. There's also an open loft in this room with additional seating desks and computers for business use.  The bedrooms themselves are absolutely lovely consistent with the look and feel of the rest of the hotel and very well equiped with everything you could possibly need. A web-tv type of set-up with cordless keyboard makes e-mail and internet access so very convenient. There is a fax machine mini bar cordless telephone to use anywhere in the hotel spacious closets and bathroom large enough to accomodate 3 of us ladies staying in the same room (now that is important!). There was a separate shower and bathtub and a lot of counter space.  I could go on and on about this place. Chantal and her staff could not be any more cordial and accomodating. We had originally planned to stay 4 days and 4 nights but ended up staying and extra day since we were having so much fun. Needless to say I would stay at the 41 again and again and highly recommend it!
Dominic,1/3/15,Junior Developer,6/3/76 18:55,5,"$1,748.94",5.1785E+15,Brooksville,73714,1,auctor.vitae@condimentum.co.uk,Dog, A good value and some unexpected amenities. Yes the rooms are small even with a king upgrade. The Aveda bath products Italian coffee in room flat screen TV extra pillows friendly staff and wine hour make a huge difference in the enjoyment of your stay. Do you like wine? Knock back a couple glasses of decent merlot or chardonnay free between 5-6pm. That would run $10-$15 most places. Like any downtown hotel room service and parking are expensive. Self park for $23 and look for a deal elsewhere on the weekend. Many lots discount to $10 a day. Walk across the street to Dunkin Donuts for a $1.75 bagel and skip the $11 continental breakfast that ends up being $16 with tax and gratituity. Save your cash for dinner. I paid $84 a night and have already booked 3 more nights for the end of September. Can't beat it for the price and the decor is very cool also.
Yoshio,11/15/14,Junior Developer,6/4/72 9:25,6,"$3,200.51",5.11141E+15,Leonardville,59300,3,dui.Cras@dapibus.org,Lizard, Had a great time here. The Dusty Baron show was outstanding. The chinese buffet was Excellent. Fremont St. much better than the strip. Looking forward to my next trip there.
Reese,3/6/15,Senior QA,6/5/69 12:00,6,"$4,548.15",5.18114E+15,Leonardville,93330,3,Quisque@magnaUttincidunt.org,Dog, Had a great time here. The Dusty Baron show was outstanding. The chinese buffet was Excellent. Fremont St. much better than the strip. Looking forward to my next trip there.
Price,8/15/15,Junior Developer,6/5/84 11:55,6,$532.05,4.99372E+15,Bark River,49750,3,Nunc.quis@Donec.com,Dog, After reading the reviews for many hotels in London I decided the Henty VIII combined the best service and price offerings. However I was sorely mistaken. In all objectivity it could not have been a bad hotel rooms were very clean the internet price was good for London and the continetal breakfast was pretty good.  However the desk staff including the hotel manager were very rude and condescending to me when I needed to address a problem that arose. To make a long story short the hotel added a 100 pound service fee to a phone call that should have cost less than 25 pounds (researched on British Telecom for actual price of the call) When politely questioned they at first told me the 20 minute cal I made lasted for 10 hours and that's why the call cost 130 pounds. Then they said the call lasted 261 minutes and that's why it cost 130 pounds. finally they said the call lasted 20 minutes and still cost 130 pounds.  The way they handled the explaination of the bill seems shady to me not to mention the rude way I was spoken to as though I were a dumb american.  Since they had my credit card number and security I had to sign the charge slip (though I wrote it was under duress on both copies) My Visa will be handling them now... Avoid this hotel like the plague.
Patrick,3/21/15,Senior Developer,6/7/78 14:55,10,"$4,000.41",5.12205E+15,Rollingbay,66592,3,arcu.ac@odioPhasellusat.edu,Fish, As one who has stayed over in the city many times I have to agree with those who say that the decor strikes one as being out of the 1970s. The Queen has been supplanted by the Lowes Vogue or the Delta as the place to be in the city. The rooms aren't particularly big for a luxury hotel. The one plus to this place is a large pool and a nicely equiped gym. Like all those others expect to spend C$75/day on top of the listed price for the taxes parking and whatnot. If you aren't addicted to five star service and want the real Montreal experience I'd prefer the Chateau d'Argoat to all of them.
Jasper,12/22/13,QA engineer,7/5/66 8:20,4,"$3,001.26",5.12651E+15,Bronx,57392,3,sem.molestie.sodales@tristiquepharetraQuisque.edu,Dog, A much needed Girls Weekend. First time in a W. Now we understand what all the rave is about! We had a ball. Super hotel! Definately different than any other place we've ever stayed. Not for all travelers though. Funky sexy chic loud music busy--fun fun fun!! So far from our lives as young moms with 3 young children at home. We traveled for a long weekend Nov. 7-11 2003. I highly recommend this hotel. GREAT STAFF-very personable and accomodating. Book it-you'll be glad you did!
Ezra,12/11/13,Developer,7/5/72 12:35,10,"$3,449.00",5.19424E+15,Bark River,2064,3,mauris.sagittis.placerat@magnaetipsum.ca,Cat, After reading the reviews for many hotels in London I decided the Henty VIII combined the best service and price offerings. However I was sorely mistaken. In all objectivity it could not have been a bad hotel rooms were very clean the internet price was good for London and the continetal breakfast was pretty good.  However the desk staff including the hotel manager were very rude and condescending to me when I needed to address a problem that arose. To make a long story short the hotel added a 100 pound service fee to a phone call that should have cost less than 25 pounds (researched on British Telecom for actual price of the call) When politely questioned they at first told me the 20 minute cal I made lasted for 10 hours and that's why the call cost 130 pounds. Then they said the call lasted 261 minutes and that's why it cost 130 pounds. finally they said the call lasted 20 minutes and still cost 130 pounds.  The way they handled the explaination of the bill seems shady to me not to mention the rude way I was spoken to as though I were a dumb american.  Since they had my credit card number and security I had to sign the charge slip (though I wrote it was under duress on both copies) My Visa will be handling them now... Avoid this hotel like the plague.
Lamar,1/20/15,Senior QA,7/6/74 15:35,9,"$3,876.78",5.17738E+15,Bark River,81873,3,ut@bibendumullamcorper.co.uk,Dog, After reading the reviews for many hotels in London I decided the Henty VIII combined the best service and price offerings. However I was sorely mistaken. In all objectivity it could not have been a bad hotel rooms were very clean the internet price was good for London and the continetal breakfast was pretty good.  However the desk staff including the hotel manager were very rude and condescending to me when I needed to address a problem that arose. To make a long story short the hotel added a 100 pound service fee to a phone call that should have cost less than 25 pounds (researched on British Telecom for actual price of the call) When politely questioned they at first told me the 20 minute cal I made lasted for 10 hours and that's why the call cost 130 pounds. Then they said the call lasted 261 minutes and that's why it cost 130 pounds. finally they said the call lasted 20 minutes and still cost 130 pounds.  The way they handled the explaination of the bill seems shady to me not to mention the rude way I was spoken to as though I were a dumb american.  Since they had my credit card number and security I had to sign the charge slip (though I wrote it was under duress on both copies) My Visa will be handling them now... Avoid this hotel like the plague.
Sebastian,8/8/15,Automation QA,8/3/76 15:45,9,"$3,327.45",5.19278E+15,Bussey,25631,1,eu.augue@cursusinhendrerit.org,Dog, Certainly does not have the WOW factor which it affords itself in it's own descriptions. I was completely underwhelmed.
Quinn,6/9/15,Junior Developer,8/8/66 9:15,3,"$4,200.48",4.73166E+15,Archbald,27334,2,eget.laoreet@Utnecurna.ca,, As one who has stayed over in the city many times I have to agree with those who say that the decor strikes one as being out of the 1970s. The Queen has been supplanted by the Lowes Vogue or the Delta as the place to be in the city. The rooms aren't particularly big for a luxury hotel. The one plus to this place is a large pool and a nicely equiped gym. Like all those others expect to spend C$75/day on top of the listed price for the taxes parking and whatnot. If you aren't addicted to five star service and want the real Montreal experience I'd prefer the Chateau d'Argoat to all of them.
Holmes,6/21/15,Automation QA,8/9/70 17:05,9,"$3,575.51",5.11525E+15,Brownsboro,31295,2,Etiam.ligula.tortor@natoquepenatibus.org,Coon, After several months of planning and research to find the perfect London hotel 41 was what I hoped it would be and more. This was a birthday trip to mother and sister and I wanted everything to be as perfect as possible. Chantal the resident manager made it all happen with the most warm and personal touches including balloons champagne a cake and gifts waiting in our room upon our arrival. Chantal and I had been emailing each other in the weeks preceeding the trip and I felt as if I knew her as a friend when we finally arrived.  This was by far the best hotel I have stayed at in London out of my previous 4 stays. The hotel itself is quaint yet beautiful with a cozy at-home feeling. From the street the entrance is quite inconspicuous and private which is very nice. The overall style is what I would describe as contemporary old-world style meets traditional English. The executive lounge is a large gorgeous living room type of space with multiple seating areas that are also for the morning breakfast sittings. In the evenings a well stocked bar is set up for evening cocktails. The very unconventional reception area is also here in this room as a mere executive desk with a flat screen computer monitor and two guest chairs. There's also an open loft in this room with additional seating desks and computers for business use.  The bedrooms themselves are absolutely lovely consistent with the look and feel of the rest of the hotel and very well equiped with everything you could possibly need. A web-tv type of set-up with cordless keyboard makes e-mail and internet access so very convenient. There is a fax machine mini bar cordless telephone to use anywhere in the hotel spacious closets and bathroom large enough to accomodate 3 of us ladies staying in the same room (now that is important!). There was a separate shower and bathtub and a lot of counter space.  I could go on and on about this place. Chantal and her staff could not be any more cordial and accomodating. We had originally planned to stay 4 days and 4 nights but ended up staying and extra day since we were having so much fun. Needless to say I would stay at the 41 again and again and highly recommend it!
Tanek,4/4/14,QA engineer,8/9/78 12:30,3,"$4,000.26",4.60653E+15,Archbald,94481,3,Nulla@arcueu.ca,Possum, As one who has stayed over in the city many times I have to agree with those who say that the decor strikes one as being out of the 1970s. The Queen has been supplanted by the Lowes Vogue or the Delta as the place to be in the city. The rooms aren't particularly big for a luxury hotel. The one plus to this place is a large pool and a nicely equiped gym. Like all those others expect to spend C$75/day on top of the listed price for the taxes parking and whatnot. If you aren't addicted to five star service and want the real Montreal experience I'd prefer the Chateau d'Argoat to all of them.
Slade,2/8/14,Group Manager,9/5/66 12:30,6,"$3,982.77",4.68133E+15,Dulles,49717,2,gravida.sagittis.Duis@Aliquamrutrumlorem.ca,Lizard, and the best hotel in london is the Kingsway hall hotel super location excellent staff perfect food fab rooms all in all its splendid. we will be back it helped make our stay in london fantastic.
Brandon,9/5/14,Senior QA,9/5/78 12:45,8,"$3,225.30",4.17355E+15,Rollingbay,55425,1,nisl@ataugue.org,, As one who has stayed over in the city many times I have to agree with those who say that the decor strikes one as being out of the 1970s. The Queen has been supplanted by the Lowes Vogue or the Delta as the place to be in the city. The rooms aren't particularly big for a luxury hotel. The one plus to this place is a large pool and a nicely equiped gym. Like all those others expect to spend C$75/day on top of the listed price for the taxes parking and whatnot. If you aren't addicted to five star service and want the real Montreal experience I'd prefer the Chateau d'Argoat to all of them.
Thane,4/28/14,Automation QA,9/12/74 15:40,6,"$4,230.98",4.10763E+15,Archbald,24572,1,neque.sed@Suspendisse.co.uk,Cat, As one who has stayed over in the city many times I have to agree with those who say that the decor strikes one as being out of the 1970s. The Queen has been supplanted by the Lowes Vogue or the Delta as the place to be in the city. The rooms aren't particularly big for a luxury hotel. The one plus to this place is a large pool and a nicely equiped gym. Like all those others expect to spend C$75/day on top of the listed price for the taxes parking and whatnot. If you aren't addicted to five star service and want the real Montreal experience I'd prefer the Chateau d'Argoat to all of them.
Oscar,7/19/13,Senior Developer,10/4/75 11:15,4,"$4,008.65",5.1571E+15,Leonardville,63176,2,nec@aliquamadipiscing.org,Rat, Had a great time here. The Dusty Baron show was outstanding. The chinese buffet was Excellent. Fremont St. much better than the strip. Looking forward to my next trip there.
Phillip,7/25/13,Junior Developer,10/6/80 17:30,5,"$2,736.27",5.17017E+15,Leonardville,24772,1,Nam.tempor@ipsumsodales.org,Cat, Had a great time here. The Dusty Baron show was outstanding. The chinese buffet was Excellent. Fremont St. much better than the strip. Looking forward to my next trip there.
Zachary,7/20/14,Developer,10/9/69 14:55,6,"$4,032.57",4.79499E+15,Brooksville,56882,2,eu.nulla.at@mauris.co.uk,Parrot, A good value and some unexpected amenities. Yes the rooms are small even with a king upgrade. The Aveda bath products Italian coffee in room flat screen TV extra pillows friendly staff and wine hour make a huge difference in the enjoyment of your stay. Do you like wine? Knock back a couple glasses of decent merlot or chardonnay free between 5-6pm. That would run $10-$15 most places. Like any downtown hotel room service and parking are expensive. Self park for $23 and look for a deal elsewhere on the weekend. Many lots discount to $10 a day. Walk across the street to Dunkin Donuts for a $1.75 bagel and skip the $11 continental breakfast that ends up being $16 with tax and gratituity. Save your cash for dinner. I paid $84 a night and have already booked 3 more nights for the end of September. Can't beat it for the price and the decor is very cool also.
Lyle,5/11/14,Developer,10/9/83 14:50,8,"$4,721.62",5.17579E+15,Austell,36779,2,arcu.Sed.et@sodales.edu,Coon, Had a great time here. The Dusty Baron show was outstanding. The chinese buffet was Excellent. Fremont St. much better than the strip. Looking forward to my next trip there.
Xanthus,10/31/14,Automation QA,11/12/76 17:20,7,"$4,336.03",4.98298E+15,Austell,32933,2,id.mollis.nec@Phasellus.net,Parrot, An absolute nightmare. The worst hotel I've ever stayed in. My room smelled of smoke (and it was a non-smoking room). There was debris from a previous guest. I checked out early the next morning and got a room in Travelodge on W. Harrison. (only the Congress could make a Travelodge look so nice in comparison).To their credit the staff was understanding and friendly
Geoffrey,6/23/15,QA engineer,12/5/80 12:35,7,"$3,003.45",5.17419E+15,Bussey,42390,2,nulla@sollicitudin.edu,Coon, Certainly does not have the WOW factor which it affords itself in it's own descriptions. I was completely underwhelmed.
Zahir,8/16/15,QA engineer,12/6/66 12:40,9,"$4,008.27",4.10101E+15,Leonardville,5738,1,mauris.rhoncus@Duiselementumdui.co.uk,Parrot, Had a great time here. The Dusty Baron show was outstanding. The chinese buffet was Excellent. Fremont St. much better than the strip. Looking forward to my next trip there.
Raja,2/19/15,HR Manager,12/9/72 13:25,10,"$4,126.93",5.19054E+15,Brooksville,41280,2,Maecenas.libero@molestie.edu,Parrot, A good value and some unexpected amenities. Yes the rooms are small even with a king upgrade. The Aveda bath products Italian coffee in room flat screen TV extra pillows friendly staff and wine hour make a huge difference in the enjoyment of your stay. Do you like wine? Knock back a couple glasses of decent merlot or chardonnay free between 5-6pm. That would run $10-$15 most places. Like any downtown hotel room service and parking are expensive. Self park for $23 and look for a deal elsewhere on the weekend. Many lots discount to $10 a day. Walk across the street to Dunkin Donuts for a $1.75 bagel and skip the $11 continental breakfast that ends up being $16 with tax and gratituity. Save your cash for dinner. I paid $84 a night and have already booked 3 more nights for the end of September. Can't beat it for the price and the decor is very cool also.
Reuben,7/30/15,Senior QA,12/10/74 14:55,5,"$3,557.80",4.88718E+15,Austell,70555,1,fermentum.arcu@tinciduntdui.org,Dog, An absolute nightmare. The worst hotel I've ever stayed in. My room smelled of smoke (and it was a non-smoking room). There was debris from a previous guest. I checked out early the next morning and got a room in Travelodge on W. Harrison. (only the Congress could make a Travelodge look so nice in comparison).To their credit the staff was understanding and friendly
Aidan,12/7/14,Senior Developer,12/11/77 11:30,7,"$4,008.33",5.14932E+15,Brooksville,68015,1,urna.Nullam.lobortis@aliquetProin.edu,Pig, A good value and some unexpected amenities. Yes the rooms are small even with a king upgrade. The Aveda bath products Italian coffee in room flat screen TV extra pillows friendly staff and wine hour make a huge difference in the enjoyment of your stay. Do you like wine? Knock back a couple glasses of decent merlot or chardonnay free between 5-6pm. That would run $10-$15 most places. Like any downtown hotel room service and parking are expensive. Self park for $23 and look for a deal elsewhere on the weekend. Many lots discount to $10 a day. Walk across the street to Dunkin Donuts for a $1.75 bagel and skip the $11 continental breakfast that ends up being $16 with tax and gratituity. Save your cash for dinner. I paid $84 a night and have already booked 3 more nights for the end of September. Can't beat it for the price and the decor is very cool also.
Branden,8/25/14,Senior Developer,13/06/1972 02:50:00 PM,4,"$3,003.52",4.57481E+15,Dulles,21913,3,Aliquam@molestie.com,Pig, and the best hotel in london is the Kingsway hall hotel super location excellent staff perfect food fab rooms all in all its splendid. we will be back it helped make our stay in london fantastic.
Jared,12/17/14,QA engineer,13/12/1980 10:45:00 AM,7,"$4,700.34",4.93181E+15,Archbald,78539,1,laoreet.lectus.quis@urnaconvallis.net,Frog, As one who has stayed over in the city many times I have to agree with those who say that the decor strikes one as being out of the 1970s. The Queen has been supplanted by the Lowes Vogue or the Delta as the place to be in the city. The rooms aren't particularly big for a luxury hotel. The one plus to this place is a large pool and a nicely equiped gym. Like all those others expect to spend C$75/day on top of the listed price for the taxes parking and whatnot. If you aren't addicted to five star service and want the real Montreal experience I'd prefer the Chateau d'Argoat to all of them.
Reese,1/29/15,Senior Developer,14/01/1975 01:50:00 PM,4,"$4,400.79",4.87137E+15,Brownsboro,97707,2,erat@vehicula.org,Hamster, After several months of planning and research to find the perfect London hotel 41 was what I hoped it would be and more. This was a birthday trip to mother and sister and I wanted everything to be as perfect as possible. Chantal the resident manager made it all happen with the most warm and personal touches including balloons champagne a cake and gifts waiting in our room upon our arrival. Chantal and I had been emailing each other in the weeks preceeding the trip and I felt as if I knew her as a friend when we finally arrived.  This was by far the best hotel I have stayed at in London out of my previous 4 stays. The hotel itself is quaint yet beautiful with a cozy at-home feeling. From the street the entrance is quite inconspicuous and private which is very nice. The overall style is what I would describe as contemporary old-world style meets traditional English. The executive lounge is a large gorgeous living room type of space with multiple seating areas that are also for the morning breakfast sittings. In the evenings a well stocked bar is set up for evening cocktails. The very unconventional reception area is also here in this room as a mere executive desk with a flat screen computer monitor and two guest chairs. There's also an open loft in this room with additional seating desks and computers for business use.  The bedrooms themselves are absolutely lovely consistent with the look and feel of the rest of the hotel and very well equiped with everything you could possibly need. A web-tv type of set-up with cordless keyboard makes e-mail and internet access so very convenient. There is a fax machine mini bar cordless telephone to use anywhere in the hotel spacious closets and bathroom large enough to accomodate 3 of us ladies staying in the same room (now that is important!). There was a separate shower and bathtub and a lot of counter space.  I could go on and on about this place. Chantal and her staff could not be any more cordial and accomodating. We had originally planned to stay 4 days and 4 nights but ended up staying and extra day since we were having so much fun. Needless to say I would stay at the 41 again and again and highly recommend it!
Oleg,7/7/13,QA engineer,14/04/1971 09:55:00 AM,8,"$4,100.09",5.12318E+15,Brownsboro,49662,1,ac@Nunc.ca,Coon, After several months of planning and research to find the perfect London hotel 41 was what I hoped it would be and more. This was a birthday trip to mother and sister and I wanted everything to be as perfect as possible. Chantal the resident manager made it all happen with the most warm and personal touches including balloons champagne a cake and gifts waiting in our room upon our arrival. Chantal and I had been emailing each other in the weeks preceeding the trip and I felt as if I knew her as a friend when we finally arrived.  This was by far the best hotel I have stayed at in London out of my previous 4 stays. The hotel itself is quaint yet beautiful with a cozy at-home feeling. From the street the entrance is quite inconspicuous and private which is very nice. The overall style is what I would describe as contemporary old-world style meets traditional English. The executive lounge is a large gorgeous living room type of space with multiple seating areas that are also for the morning breakfast sittings. In the evenings a well stocked bar is set up for evening cocktails. The very unconventional reception area is also here in this room as a mere executive desk with a flat screen computer monitor and two guest chairs. There's also an open loft in this room with additional seating desks and computers for business use.  The bedrooms themselves are absolutely lovely consistent with the look and feel of the rest of the hotel and very well equiped with everything you could possibly need. A web-tv type of set-up with cordless keyboard makes e-mail and internet access so very convenient. There is a fax machine mini bar cordless telephone to use anywhere in the hotel spacious closets and bathroom large enough to accomodate 3 of us ladies staying in the same room (now that is important!). There was a separate shower and bathtub and a lot of counter space.  I could go on and on about this place. Chantal and her staff could not be any more cordial and accomodating. We had originally planned to stay 4 days and 4 nights but ended up staying and extra day since we were having so much fun. Needless to say I would stay at the 41 again and again and highly recommend it!
Colin,9/19/14,Automation QA,14/07/1980 11:45:00 AM,10,"$4,123.58",4.85273E+15,Leonardville,17408,1,luctus@vestibulumneceuismod.ca,Cat, Had a great time here. The Dusty Baron show was outstanding. The chinese buffet was Excellent. Fremont St. much better than the strip. Looking forward to my next trip there.
Mohammad,2/21/15,Senior Developer,14/12/1976 03:35:00 PM,10,"$4,000.48",4.30647E+15,Bussey,60634,1,a.neque.Nullam@velitCraslorem.org,Snail, Certainly does not have the WOW factor which it affords itself in it's own descriptions. I was completely underwhelmed.
Joel,7/27/14,Senior Developer,15/04/1968 12:45:00 PM,10,"$3,002.30",5.1828E+15,Brooksville,49741,3,convallis.ligula@ante.co.uk,, A good value and some unexpected amenities. Yes the rooms are small even with a king upgrade. The Aveda bath products Italian coffee in room flat screen TV extra pillows friendly staff and wine hour make a huge difference in the enjoyment of your stay. Do you like wine? Knock back a couple glasses of decent merlot or chardonnay free between 5-6pm. That would run $10-$15 most places. Like any downtown hotel room service and parking are expensive. Self park for $23 and look for a deal elsewhere on the weekend. Many lots discount to $10 a day. Walk across the street to Dunkin Donuts for a $1.75 bagel and skip the $11 continental breakfast that ends up being $16 with tax and gratituity. Save your cash for dinner. I paid $84 a night and have already booked 3 more nights for the end of September. Can't beat it for the price and the decor is very cool also.
